engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,45.0,1,1,0,1,1,1,1,1.000000
ns3,45.0,2,1,0,1,1,2,2,1.000000
ns3,45.0,3,0,1,0,1,2,2,1.000000
ns3,45.0,4,1,0,1,1,3,3,1.000000
ns3,45.0,5,1,1,0,1,4,3,0.996094
ns3,45.0,6,1,0,1,1,5,4,0.999680
ns3,45.0,7,1,0,1,1,6,5,0.999979
ns3,45.0,8,1,1,0,1,7,5,0.999845
ns3,45.0,9,1,0,1,1,8,6,0.999985
ns3,45.0,10,1,0,1,1,9,7,0.999999
ns3,45.0,11,0,0,0,1,9,7,0.999999
ns3,45.0,12,0,1,0,1,9,7,0.999999
ns3,45.0,13,1,0,1,1,10,8,1.000000
ns3,45.0,14,1,0,1,1,11,9,1.000000
ns3,45.0,15,0,0,0,1,11,9,1.000000
ns3,45.0,16,1,0,1,1,12,10,1.000000
ns3,45.0,17,1,1,0,1,13,10,1.000000
ns3,45.0,18,1,0,1,1,14,11,1.000000
ns3,45.0,19,1,0,1,1,15,12,1.000000
ns3,45.0,20,0,0,0,1,15,12,1.000000
ns3,45.0,21,1,1,0,1,16,12,1.000000
ns3,45.0,22,0,0,0,1,16,12,1.000000
ns3,45.0,23,1,1,0,1,17,12,1.000000
ns3,45.0,24,1,0,1,1,18,13,1.000000
ns3,45.0,25,1,0,1,1,19,14,1.000000
ns3,45.0,26,1,0,1,1,20,15,1.000000
ns3,45.0,27,1,1,0,1,21,15,1.000000
ns3,45.0,28,1,1,0,1,22,15,1.000000
ns3,45.0,29,1,1,0,1,23,15,1.000000
ns3,45.0,30,1,0,1,1,24,16,1.000000
ns3,45.0,31,1,0,1,1,25,17,1.000000
ns3,45.0,32,1,0,1,1,26,18,1.000000
ns3,45.0,33,1,0,1,1,27,19,1.000000
ns3,45.0,34,1,0,1,1,28,20,1.000000
ns3,45.0,35,1,1,0,1,29,20,1.000000
ns3,45.0,36,1,0,1,1,30,21,1.000000
ns3,45.0,37,1,1,0,1,31,21,1.000000
ns3,45.0,38,1,0,1,1,32,22,1.000000
ns3,45.0,39,1,1,0,1,33,22,1.000000
ns3,45.0,40,1,0,1,1,34,23,1.000000
ns3,45.0,41,1,1,0,1,35,23,1.000000
ns3,45.0,42,1,1,0,1,36,23,1.000000
ns3,45.0,43,1,0,1,1,37,24,1.000000
ns3,45.0,44,1,1,0,1,38,24,1.000000
ns3,45.0,45,0,0,0,1,38,24,1.000000
