engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,45.0,1,1,1,0,0,1,0,0.000000
ns3,45.0,2,1,1,0,0,2,0,0.000000
ns3,45.0,3,1,1,0,0,3,0,0.000000
ns3,45.0,4,1,1,0,0,4,0,0.000000
ns3,45.0,5,1,1,0,0,5,0,0.000000
ns3,45.0,6,1,1,0,0,6,0,0.000000
ns3,45.0,7,1,0,1,1,7,1,0.660083
ns3,45.0,8,1,1,0,1,8,1,0.656391
ns3,45.0,9,1,0,1,1,9,2,0.895840
ns3,45.0,10,1,1,0,1,10,2,0.892626
ns3,45.0,11,1,1,0,1,11,2,0.890011
ns3,45.0,12,1,1,0,1,12,2,0.887843
ns3,45.0,13,1,0,1,1,13,3,0.966983
ns3,45.0,14,1,1,0,1,14,3,0.965825
ns3,45.0,15,1,0,1,1,15,4,0.990461
ns3,45.0,16,1,1,0,1,16,4,0.989977
ns3,45.0,17,1,1,0,1,17,4,0.989543
ns3,45.0,18,1,1,0,1,18,4,0.989151
ns3,45.0,19,1,1,0,1,19,4,0.988795
ns3,45.0,20,1,0,1,1,20,5,0.996829
ns3,45.0,21,1,1,0,1,21,5,0.996689
ns3,45.0,22,1,0,1,1,22,6,0.999094
ns3,45.0,23,1,1,0,1,23,6,0.999044
ns3,45.0,24,1,1,0,1,24,6,0.998997
ns3,45.0,25,1,1,0,1,25,6,0.998952
ns3,45.0,26,1,1,0,1,26,6,0.998910
ns3,45.0,27,1,1,0,1,27,6,0.998870
ns3,45.0,28,1,1,0,1,28,6,0.998832
ns3,45.0,29,1,1,0,1,29,6,0.998796
ns3,45.0,30,1,0,1,1,30,7,0.999655
ns3,45.0,31,1,1,0,1,31,7,0.999642
ns3,45.0,32,1,1,0,1,32,7,0.999629
ns3,45.0,33,1,0,1,1,33,8,0.999895
ns3,45.0,34,1,0,1,1,34,9,0.999971
ns3,45.0,35,1,1,0,1,35,9,0.999970
ns3,45.0,36,1,1,0,1,36,9,0.999968
ns3,45.0,37,1,1,0,1,37,9,0.999967
ns3,45.0,38,1,1,0,1,38,9,0.999965
ns3,45.0,39,1,1,0,1,39,9,0.999964
ns3,45.0,40,1,1,0,1,40,9,0.999963
ns3,45.0,41,1,1,0,1,41,9,0.999961
ns3,45.0,42,1,1,0,1,42,9,0.999960
ns3,45.0,43,1,1,0,1,43,9,0.999959
ns3,45.0,44,1,1,0,1,44,9,0.999958
ns3,45.0,45,1,1,0,1,45,9,0.999956
ns3,45.0,46,1,1,0,1,46,9,0.999955
ns3,45.0,47,1,1,0,1,47,9,0.999954
ns3,45.0,48,1,0,1,1,48,10,0.999987
ns3,45.0,49,1,1,0,1,49,10,0.999986
ns3,45.0,50,1,1,0,1,50,10,0.999986
ns3,45.0,51,1,1,0,1,51,10,0.999985
ns3,45.0,52,1,1,0,1,52,10,0.999985
ns3,45.0,53,1,1,0,1,53,10,0.999985
ns3,45.0,54,1,1,0,1,54,10,0.999984
ns3,45.0,55,1,1,0,1,55,10,0.999984
ns3,45.0,56,1,1,0,1,56,10,0.999984
ns3,45.0,57,1,1,0,1,57,10,0.999983
ns3,45.0,58,1,0,1,1,58,11,0.999995
ns3,45.0,59,1,0,1,1,59,12,0.999999
ns3,45.0,60,1,0,1,1,60,13,1.000000
ns3,45.0,61,1,1,0,1,61,13,1.000000
ns3,45.0,62,1,1,0,1,62,13,1.000000
ns3,45.0,63,1,1,0,1,63,13,1.000000
ns3,45.0,64,1,0,1,1,64,14,1.000000
ns3,45.0,65,1,1,0,1,65,14,1.000000
ns3,45.0,66,1,1,0,1,66,14,1.000000
ns3,45.0,67,1,1,0,1,67,14,1.000000
ns3,45.0,68,0,0,0,1,67,14,1.000000
ns3,45.0,69,1,0,1,1,68,15,1.000000
ns3,45.0,70,1,1,0,1,69,15,1.000000
ns3,45.0,71,1,1,0,1,70,15,1.000000
ns3,45.0,72,1,0,1,1,71,16,1.000000
ns3,45.0,73,1,1,0,1,72,16,1.000000
ns3,45.0,74,1,1,0,1,73,16,1.000000
