engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,60.0,1,1,0,1,1,1,1,1.000000
ns3,60.0,2,1,0,1,1,2,2,1.000000
ns3,60.0,3,1,1,0,1,3,2,0.962963
ns3,60.0,4,1,0,1,1,4,3,0.996094
ns3,60.0,5,1,0,1,1,5,4,0.999680
ns3,60.0,6,1,0,1,1,6,5,0.999979
ns3,60.0,7,1,0,1,1,7,6,0.999999
ns3,60.0,8,1,1,0,1,8,6,0.999985
ns3,60.0,9,1,0,1,1,9,7,0.999999
ns3,60.0,10,1,0,1,1,10,8,1.000000
ns3,60.0,11,1,0,1,1,11,9,1.000000
ns3,60.0,12,1,1,0,1,12,9,1.000000
ns3,60.0,13,1,0,1,1,13,10,1.000000
ns3,60.0,14,1,0,1,1,14,11,1.000000
ns3,60.0,15,1,0,1,1,15,12,1.000000
ns3,60.0,16,1,0,1,1,16,13,1.000000
ns3,60.0,17,1,1,0,1,17,13,1.000000
ns3,60.0,18,1,0,1,1,18,14,1.000000
ns3,60.0,19,1,0,1,1,19,15,1.000000
ns3,60.0,20,1,0,1,1,20,16,1.000000
ns3,60.0,21,1,1,0,1,21,16,1.000000
ns3,60.0,22,1,0,1,1,22,17,1.000000
ns3,60.0,23,1,1,0,1,23,17,1.000000
ns3,60.0,24,1,0,1,1,24,18,1.000000
ns3,60.0,25,1,0,1,1,25,19,1.000000
ns3,60.0,26,1,0,1,1,26,20,1.000000
ns3,60.0,27,1,0,1,1,27,21,1.000000
ns3,60.0,28,1,1,0,1,28,21,1.000000
ns3,60.0,29,1,1,0,1,29,21,1.000000
ns3,60.0,30,1,0,1,1,30,22,1.000000
ns3,60.0,31,1,0,1,1,31,23,1.000000
ns3,60.0,32,1,0,1,1,32,24,1.000000
ns3,60.0,33,1,0,1,1,33,25,1.000000
ns3,60.0,34,1,0,1,1,34,26,1.000000
ns3,60.0,35,1,1,0,1,35,26,1.000000
ns3,60.0,36,1,0,1,1,36,27,1.000000
ns3,60.0,37,1,0,1,1,37,28,1.000000
ns3,60.0,38,1,0,1,1,38,29,1.000000
ns3,60.0,39,1,1,0,1,39,29,1.000000
ns3,60.0,40,1,0,1,1,40,30,1.000000
ns3,60.0,41,1,0,1,1,41,31,1.000000
ns3,60.0,42,1,1,0,1,42,31,1.000000
ns3,60.0,43,1,0,1,1,43,32,1.000000
ns3,60.0,44,1,0,1,1,44,33,1.000000
ns3,60.0,45,1,0,1,1,45,34,1.000000
ns3,60.0,46,1,1,0,1,46,34,1.000000
ns3,60.0,47,1,0,1,1,47,35,1.000000
ns3,60.0,48,1,0,1,1,48,36,1.000000
ns3,60.0,49,1,0,1,1,49,37,1.000000
ns3,60.0,50,1,1,0,1,50,37,1.000000
ns3,60.0,51,1,0,1,1,51,38,1.000000
ns3,60.0,52,1,0,1,1,52,39,1.000000
ns3,60.0,53,1,0,1,1,53,40,1.000000
ns3,60.0,54,1,0,1,1,54,41,1.000000
ns3,60.0,55,1,0,1,1,55,42,1.000000
ns3,60.0,56,1,0,1,1,56,43,1.000000
ns3,60.0,57,1,0,1,1,57,44,1.000000
ns3,60.0,58,0,0,0,1,57,44,1.000000
ns3,60.0,59,1,0,1,1,58,45,1.000000
ns3,60.0,60,1,0,1,1,59,46,1.000000
ns3,60.0,61,1,0,1,1,60,47,1.000000
ns3,60.0,62,0,0,0,1,60,47,1.000000
ns3,60.0,63,1,0,1,1,61,48,1.000000
ns3,60.0,64,1,0,1,1,62,49,1.000000
ns3,60.0,65,1,0,1,1,63,50,1.000000
ns3,60.0,66,1,1,0,1,64,50,1.000000
ns3,60.0,67,1,1,0,1,65,50,1.000000
ns3,60.0,68,0,0,0,1,65,50,1.000000
ns3,60.0,69,1,0,1,1,66,51,1.000000
ns3,60.0,70,1,0,1,1,67,52,1.000000
ns3,60.0,71,1,0,1,1,68,53,1.000000
ns3,60.0,72,1,0,1,1,69,54,1.000000
ns3,60.0,73,1,0,1,1,70,55,1.000000
ns3,60.0,74,1,0,1,1,71,56,1.000000
ns3,60.0,75,1,1,0,1,72,56,1.000000
ns3,60.0,76,0,0,0,1,72,56,1.000000
ns3,60.0,77,1,1,0,1,73,56,1.000000
ns3,60.0,78,1,1,0,1,74,56,1.000000
ns3,60.0,79,1,0,1,1,75,57,1.000000
ns3,60.0,80,1,1,0,1,76,57,1.000000
ns3,60.0,81,1,0,1,1,77,58,1.000000
ns3,60.0,82,1,0,1,1,78,59,1.000000
ns3,60.0,83,1,0,1,1,79,60,1.000000
ns3,60.0,84,1,1,0,1,80,60,1.000000
ns3,60.0,85,1,1,0,1,81,60,1.000000
ns3,60.0,86,1,0,1,1,82,61,1.000000
ns3,60.0,87,1,0,1,1,83,62,1.000000
ns3,60.0,88,1,0,1,1,84,63,1.000000
ns3,60.0,89,1,1,0,1,85,63,1.000000
ns3,60.0,90,1,0,1,1,86,64,1.000000
ns3,60.0,91,1,0,1,1,87,65,1.000000
ns3,60.0,92,1,0,1,1,88,66,1.000000
ns3,60.0,93,1,0,1,1,89,67,1.000000
ns3,60.0,94,1,0,1,1,90,68,1.000000
ns3,60.0,95,1,0,1,1,91,69,1.000000
