engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,30.0,1,1,1,0,0,1,0,0.000000
ns3,30.0,2,1,1,0,0,2,0,0.000000
ns3,30.0,3,1,1,0,0,3,0,0.000000
ns3,30.0,4,0,1,0,0,3,0,0.000000
ns3,30.0,5,1,1,0,0,4,0,0.000000
ns3,30.0,6,1,0,1,1,5,1,0.672320
ns3,30.0,7,1,1,0,1,6,1,0.665102
ns3,30.0,8,1,1,0,1,7,1,0.660083
ns3,30.0,9,1,1,0,1,8,1,0.656391
ns3,30.0,10,1,0,1,1,9,2,0.895840
ns3,30.0,11,1,0,1,1,10,3,0.971752
ns3,30.0,12,1,1,0,1,11,3,0.969893
ns3,30.0,13,1,1,0,1,12,3,0.968324
ns3,30.0,14,1,0,1,1,13,4,0.991608
ns3,30.0,15,1,0,1,1,14,5,0.997941
ns3,30.0,16,1,1,0,1,15,5,0.997716
ns3,30.0,17,0,1,0,1,15,5,0.997716
ns3,30.0,18,1,1,0,1,16,5,0.997509
ns3,30.0,19,1,1,0,1,17,5,0.997318
ns3,30.0,20,1,1,0,1,18,5,0.997142
ns3,30.0,21,1,1,0,1,19,5,0.996979
ns3,30.0,22,1,0,1,1,20,6,0.999202
ns3,30.0,23,1,1,0,1,21,6,0.999146
ns3,30.0,24,0,1,0,1,21,6,0.999146
ns3,30.0,25,1,1,0,1,22,6,0.999094
ns3,30.0,26,1,1,0,1,23,6,0.999044
ns3,30.0,27,1,1,0,1,24,6,0.998997
ns3,30.0,28,1,1,0,1,25,6,0.998952
ns3,30.0,29,1,1,0,1,26,6,0.998910
ns3,30.0,30,1,1,0,1,27,6,0.998870
ns3,30.0,31,1,1,0,1,28,6,0.998832
ns3,30.0,32,0,1,0,1,28,6,0.998832
ns3,30.0,33,1,1,0,1,29,6,0.998796
ns3,30.0,34,1,1,0,1,30,6,0.998762
ns3,30.0,35,1,1,0,1,31,6,0.998730
ns3,30.0,36,1,1,0,1,32,6,0.998699
ns3,30.0,37,1,0,1,1,33,7,0.999617
ns3,30.0,38,1,1,0,1,34,7,0.999605
ns3,30.0,39,1,1,0,1,35,7,0.999594
ns3,30.0,40,1,1,0,1,36,7,0.999584
ns3,30.0,41,1,1,0,1,37,7,0.999573
ns3,30.0,42,1,1,0,1,38,7,0.999564
ns3,30.0,43,1,1,0,1,39,7,0.999554
ns3,30.0,44,1,0,1,1,40,8,0.999867
